id,title,body,category,priority
1,IBAN per bonifico ID#7468,"Ho pagato due volte, chiedo rimborso urgente..",Amministrazione,alta
2,Pagamento duplicato ID#9779,"Risulta insoluto ma ho ricevuta, pagamento non registrato. per favore.",Amministrazione,alta
3,IBAN per bonifico ID#1950,Potete emettere nota di credito per fattura errata? richiesta bloccante.,Amministrazione,alta
4,Scadenza fattura oggi ID#2408,"Non trovo la fattura del mese, potete reinviarla? non urgente.",Amministrazione,alta
5,Sollecito pagamento ID#4943,"Non trovo la fattura del mese, potete reinviarla? per favore.",Amministrazione,media
6,Sollecito pagamento ID#3028,"Non trovo la fattura del mese, potete reinviarla? il prima possibile.",Amministrazione,media
7,Fattura non ricevuta ID#7499,Potete emettere nota di credito per fattura errata?.,Amministrazione,bassa
8,Scadenza fattura oggi ID#3181,"Non trovo la fattura del mese, potete reinviarla? entro oggi.",Amministrazione,bassa
9,Sollecito pagamento ID#9858,"Ho pagato due volte, chiedo rimborso urgente. per favore.",Amministrazione,alta
10,Richiesta nota di credito ID#3961,Potete emettere nota di credito per fattura errata? per favore.,Amministrazione,bassa
11,Scadenza fattura oggi ID#2596,"L'importo non corrisponde al contratto, serve verifica. richiesta bloccante.",Amministrazione,alta
12,Pagamento duplicato ID#1976,Potete emettere nota di credito per fattura errata? il prima possibile.,Amministrazione,alta
13,Pagamento non registrato ID#9711,Indicatemi l'IBAN corretto per il bonifico. non urgente.,Amministrazione,alta
14,IBAN per bonifico ID#8424,Mi serve conferma pagamento entro domani. entro domani.,Amministrazione,media
15,Richiesta nota di credito ID#3945,"Ho pagato due volte, chiedo rimborso urgente. il prima possibile.",Amministrazione,alta
16,Pagamento duplicato ID#5919,Potete emettere nota di credito per fattura errata? richiesta bloccante.,Amministrazione,alta
17,Pagamento non registrato ID#8353,"L'importo non corrisponde al contratto, serve verifica. entro oggi.",Amministrazione,bassa
18,Pagamento duplicato ID#9387,"Non trovo la fattura del mese, potete reinviarla? non urgente.",Amministrazione,alta
19,Errore importo fattura ID#6604,"Risulta insoluto ma ho ricevuta, pagamento non registrato. grazie.",Amministrazione,bassa
20,Pagamento non registrato ID#1642,Mi serve conferma pagamento entro domani. per favore.,Amministrazione,media
21,IBAN per bonifico ID#6737,"L'importo non corrisponde al contratto, serve verifica. è urgente.",Amministrazione,alta
22,Pagamento non registrato ID#2533,"Non trovo la fattura del mese, potete reinviarla? entro oggi.",Amministrazione,bassa
23,Pagamento non registrato ID#2064,Indicatemi l'IBAN corretto per il bonifico..,Amministrazione,bassa
24,Richiesta nota di credito ID#8301,Indicatemi l'IBAN corretto per il bonifico. entro oggi.,Amministrazione,bassa
25,Sollecito pagamento ID#6685,Indicatemi l'IBAN corretto per il bonifico..,Amministrazione,media
26,Pagamento non registrato ID#3753,"L'importo non corrisponde al contratto, serve verifica. per favore.",Amministrazione,bassa
27,Pagamento non registrato ID#4575,"Non trovo la fattura del mese, potete reinviarla? entro oggi.",Amministrazione,bassa
28,Errore importo fattura ID#5056,Indicatemi l'IBAN corretto per il bonifico. non urgente.,Amministrazione,alta
29,Sollecito pagamento ID#9134,"Risulta insoluto ma ho ricevuta, pagamento non registrato. per favore.",Amministrazione,media
30,Errore importo fattura ID#7580,Mi serve conferma pagamento entro domani. richiesta bloccante.,Amministrazione,alta
31,Richiesta nota di credito ID#8053,"Ho pagato due volte, chiedo rimborso urgente. richiesta bloccante.",Amministrazione,alta
32,Richiesta nota di credito ID#7804,Indicatemi l'IBAN corretto per il bonifico. entro domani.,Amministrazione,media
33,Sollecito pagamento ID#3472,"Ho pagato due volte, chiedo rimborso urgente. per favore.",Amministrazione,alta
34,Errore importo fattura ID#4800,"Ho pagato due volte, chiedo rimborso urgente. il prima possibile.",Amministrazione,alta
35,Fattura non ricevuta ID#3987,Mi serve conferma pagamento entro domani. entro oggi.,Amministrazione,media
36,Richiesta nota di credito ID#3386,"Non trovo la fattura del mese, potete reinviarla? non urgente.",Amministrazione,alta
37,IBAN per bonifico ID#6220,Potete emettere nota di credito per fattura errata? grazie.,Amministrazione,bassa
38,Fattura non ricevuta ID#7428,Mi serve conferma pagamento entro domani. non urgente.,Amministrazione,alta
39,Sollecito pagamento ID#2696,Mi serve conferma pagamento entro domani. è urgente.,Amministrazione,alta
40,Sollecito pagamento ID#4122,"Non trovo la fattura del mese, potete reinviarla? per favore.",Amministrazione,media
41,Scadenza fattura oggi ID#3659,Mi serve conferma pagamento entro domani. per favore.,Amministrazione,media
42,IBAN per bonifico ID#1861,Potete emettere nota di credito per fattura errata? per favore.,Amministrazione,bassa
43,Fattura non ricevuta ID#3478,Potete emettere nota di credito per fattura errata? richiesta bloccante.,Amministrazione,alta
44,Pagamento duplicato ID#1417,"L'importo non corrisponde al contratto, serve verifica. per favore.",Amministrazione,alta
45,Scadenza fattura oggi ID#7164,Potete emettere nota di credito per fattura errata? grazie.,Amministrazione,bassa
46,Richiesta nota di credito ID#6966,"L'importo non corrisponde al contratto, serve verifica. è urgente.",Amministrazione,alta
47,Pagamento duplicato ID#8996,"Non trovo la fattura del mese, potete reinviarla? è urgente.",Amministrazione,alta
48,Pagamento non registrato ID#6109,Mi serve conferma pagamento entro domani. per favore.,Amministrazione,media
49,Errore importo fattura ID#6613,"Non trovo la fattura del mese, potete reinviarla? entro oggi.",Amministrazione,bassa
50,Pagamento non registrato ID#3645,"Risulta insoluto ma ho ricevuta, pagamento non registrato. richiesta bloccante.",Amministrazione,alta
51,Fattura non ricevuta ID#9654,"Ho pagato due volte, chiedo rimborso urgente. entro domani.",Amministrazione,alta
52,Errore importo fattura ID#9899,Indicatemi l'IBAN corretto per il bonifico..,Amministrazione,bassa
53,Richiesta nota di credito ID#2491,Indicatemi l'IBAN corretto per il bonifico. entro oggi.,Amministrazione,bassa
54,IBAN per bonifico ID#6827,"Ho pagato due volte, chiedo rimborso urgente. il prima possibile.",Amministrazione,alta
55,IBAN per bonifico ID#4654,Indicatemi l'IBAN corretto per il bonifico. il prima possibile.,Amministrazione,bassa
56,Scadenza fattura oggi ID#7564,"Risulta insoluto ma ho ricevuta, pagamento non registrato. il prima possibile.",Amministrazione,bassa
57,Scadenza fattura oggi ID#9073,Potete emettere nota di credito per fattura errata? entro domani.,Amministrazione,media
58,Fattura non ricevuta ID#5577,"Non trovo la fattura del mese, potete reinviarla? è urgente.",Amministrazione,alta
59,Richiesta nota di credito ID#6640,"Ho pagato due volte, chiedo rimborso urgente. è urgente.",Amministrazione,alta
60,IBAN per bonifico ID#2319,"L'importo non corrisponde al contratto, serve verifica. il prima possibile.",Amministrazione,bassa
61,Pagamento duplicato ID#8701,"Ho pagato due volte, chiedo rimborso urgente. il prima possibile.",Amministrazione,alta
62,IBAN per bonifico ID#8907,"Ho pagato due volte, chiedo rimborso urgente..",Amministrazione,alta
63,Pagamento non registrato ID#6636,Indicatemi l'IBAN corretto per il bonifico. per favore.,Amministrazione,bassa
64,Pagamento duplicato ID#4265,Mi serve conferma pagamento entro domani. è urgente.,Amministrazione,alta
65,Errore importo fattura ID#6447,Mi serve conferma pagamento entro domani. per favore.,Amministrazione,media
66,Sollecito pagamento ID#7576,Mi serve conferma pagamento entro domani. per favore.,Amministrazione,media
67,Errore importo fattura ID#3081,"Ho pagato due volte, chiedo rimborso urgente..",Amministrazione,alta
68,Errore importo fattura ID#8624,Potete emettere nota di credito per fattura errata? grazie.,Amministrazione,bassa
69,Pagamento non registrato ID#6741,Indicatemi l'IBAN corretto per il bonifico. grazie.,Amministrazione,bassa
70,Errore importo fattura ID#1233,"Non trovo la fattura del mese, potete reinviarla? per favore.",Amministrazione,bassa
71,Errore importo fattura ID#4191,Mi serve conferma pagamento entro domani. il prima possibile.,Amministrazione,media
72,Fattura non ricevuta ID#4486,"L'importo non corrisponde al contratto, serve verifica. entro oggi.",Amministrazione,bassa
73,Scadenza fattura oggi ID#6341,"Risulta insoluto ma ho ricevuta, pagamento non registrato. entro oggi.",Amministrazione,bassa
74,Sollecito pagamento ID#3147,"Risulta insoluto ma ho ricevuta, pagamento non registrato..",Amministrazione,media
75,IBAN per bonifico ID#9466,Mi serve conferma pagamento entro domani. non urgente.,Amministrazione,alta
76,Errore importo fattura ID#3487,Potete emettere nota di credito per fattura errata? richiesta bloccante.,Amministrazione,alta
77,Fattura non ricevuta ID#8211,"Risulta insoluto ma ho ricevuta, pagamento non registrato. grazie.",Amministrazione,bassa
78,Fattura non ricevuta ID#3454,"Risulta insoluto ma ho ricevuta, pagamento non registrato. grazie.",Amministrazione,bassa
79,Errore importo fattura ID#2971,Mi serve conferma pagamento entro domani. richiesta bloccante.,Amministrazione,alta
80,Fattura non ricevuta ID#9492,"L'importo non corrisponde al contratto, serve verifica. richiesta bloccante.",Amministrazione,alta
81,Pagamento non registrato ID#2738,"Risulta insoluto ma ho ricevuta, pagamento non registrato. richiesta bloccante.",Amministrazione,alta
82,Fattura non ricevuta ID#4134,"Ho pagato due volte, chiedo rimborso urgente. entro oggi.",Amministrazione,alta
83,Fattura non ricevuta ID#2601,"Risulta insoluto ma ho ricevuta, pagamento non registrato. richiesta bloccante.",Amministrazione,alta
84,Pagamento non registrato ID#1456,Potete emettere nota di credito per fattura errata? per favore.,Amministrazione,bassa
85,Pagamento non registrato ID#9282,"L'importo non corrisponde al contratto, serve verifica. richiesta bloccante.",Amministrazione,alta
86,Scadenza fattura oggi ID#5541,Indicatemi l'IBAN corretto per il bonifico. è urgente.,Amministrazione,alta
87,Pagamento non registrato ID#5057,Potete emettere nota di credito per fattura errata? richiesta bloccante.,Amministrazione,alta
88,Richiesta nota di credito ID#4319,Potete emettere nota di credito per fattura errata? è urgente.,Amministrazione,alta
89,Errore importo fattura ID#2992,Mi serve conferma pagamento entro domani. non urgente.,Amministrazione,alta
90,Pagamento non registrato ID#2188,"L'importo non corrisponde al contratto, serve verifica. il prima possibile.",Amministrazione,bassa
91,Sollecito pagamento ID#4484,"Non trovo la fattura del mese, potete reinviarla? entro oggi.",Amministrazione,media
92,Pagamento duplicato ID#3530,"Risulta insoluto ma ho ricevuta, pagamento non registrato. entro domani.",Amministrazione,alta
93,Errore importo fattura ID#3248,"L'importo non corrisponde al contratto, serve verifica. è urgente.",Amministrazione,alta
94,Scadenza fattura oggi ID#2542,Indicatemi l'IBAN corretto per il bonifico. non urgente.,Amministrazione,alta
95,Pagamento non registrato ID#4665,"Ho pagato due volte, chiedo rimborso urgente. grazie.",Amministrazione,alta
96,Sollecito pagamento ID#7616,Potete emettere nota di credito per fattura errata? entro domani.,Amministrazione,media
97,Sollecito pagamento ID#6842,"Ho pagato due volte, chiedo rimborso urgente. entro domani.",Amministrazione,alta
98,Pagamento duplicato ID#6995,Indicatemi l'IBAN corretto per il bonifico..,Amministrazione,alta
99,IBAN per bonifico ID#8514,Potete emettere nota di credito per fattura errata? è urgente.,Amministrazione,alta
100,Fattura non ricevuta ID#6431,Mi serve conferma pagamento entro domani. richiesta bloccante.,Amministrazione,alta
101,Sistema lento ID#2848,"L'app si chiude subito, comportamento bloccante. il prima possibile.",Tecnico,alta
102,App non si avvia ID#5351,"L'app si chiude subito, comportamento bloccante. entro oggi.",Tecnico,alta
103,Errore 500 in dashboard ID#5430,"Dopo aggiornamento crash frequente, è urgente. grazie.",Tecnico,alta
104,API restituisce 401 ID#7651,Il sistema è lento e spesso non risponde. grazie.,Tecnico,media
105,Servizio fermo ID#2465,Upload va in timeout e non completa l'operazione. entro oggi.,Tecnico,alta
106,Errore 500 in dashboard ID#7968,"Dopo aggiornamento crash frequente, è urgente. per favore.",Tecnico,alta
107,Sistema lento ID#2451,Da stamattina errore 500 quando apro la schermata principale. entro oggi.,Tecnico,alta
108,App non si avvia ID#2091,"Non riesco ad accedere, login non funziona con credenziali corrette. entro oggi.",Tecnico,media
109,App non si avvia ID#1189,"Servizio fermo, sistema down, priorità alta. entro domani.",Tecnico,alta
110,API restituisce 401 ID#3117,Il sistema è lento e spesso non risponde..,Tecnico,media
111,Login non funziona ID#3645,"L'app si chiude subito, comportamento bloccante. entro oggi.",Tecnico,alta
112,Errore 500 in dashboard ID#4305,"Dopo aggiornamento crash frequente, è urgente. entro oggi.",Tecnico,alta
113,Sistema lento ID#5750,"Non riesco ad accedere, login non funziona con credenziali corrette. è urgente.",Tecnico,alta
114,Crash dopo aggiornamento ID#6685,Il sistema è lento e spesso non risponde..,Tecnico,alta
115,Sistema lento ID#1251,Da stamattina errore 500 quando apro la schermata principale..,Tecnico,alta
116,Login non funziona ID#5025,"Servizio fermo, sistema down, priorità alta. è urgente.",Tecnico,alta
117,App non si avvia ID#9110,"Integrazione API fallisce con 401, non posso lavorare. richiesta bloccante.",Tecnico,alta
118,API restituisce 401 ID#4525,Il sistema è lento e spesso non risponde. il prima possibile.,Tecnico,media
119,Timeout durante upload ID#3289,"Non riesco ad accedere, login non funziona con credenziali corrette. non urgente.",Tecnico,alta
120,Timeout durante upload ID#3126,Da stamattina errore 500 quando apro la schermata principale..,Tecnico,alta
121,App non si avvia ID#8057,Il sistema è lento e spesso non risponde. grazie.,Tecnico,media
122,Errore 500 in dashboard ID#7240,"L'app si chiude subito, comportamento bloccante. richiesta bloccante.",Tecnico,alta
123,Sistema lento ID#5801,"Non riesco ad accedere, login non funziona con credenziali corrette..",Tecnico,media
124,Servizio fermo ID#3581,"Dopo aggiornamento crash frequente, è urgente. entro oggi.",Tecnico,alta
125,Servizio fermo ID#5312,Da stamattina errore 500 quando apro la schermata principale. entro domani.,Tecnico,alta
126,Timeout durante upload ID#5005,Upload va in timeout e non completa l'operazione..,Tecnico,alta
127,Sistema lento ID#6842,"Non riesco ad accedere, login non funziona con credenziali corrette. grazie.",Tecnico,media
128,Errore 500 in dashboard ID#7252,Upload va in timeout e non completa l'operazione. per favore.,Tecnico,alta
129,Servizio fermo ID#9237,Il sistema è lento e spesso non risponde. il prima possibile.,Tecnico,alta
130,Login non funziona ID#2488,Da stamattina errore 500 quando apro la schermata principale. entro oggi.,Tecnico,alta
131,App non si avvia ID#7545,"Dopo aggiornamento crash frequente, è urgente..",Tecnico,alta
132,API restituisce 401 ID#5909,Da stamattina errore 500 quando apro la schermata principale. entro oggi.,Tecnico,alta
133,Login non funziona ID#9670,"L'app si chiude subito, comportamento bloccante. grazie.",Tecnico,alta
134,API restituisce 401 ID#9096,Upload va in timeout e non completa l'operazione. grazie.,Tecnico,alta
135,Sistema lento ID#1717,"Dopo aggiornamento crash frequente, è urgente. richiesta bloccante.",Tecnico,alta
136,API restituisce 401 ID#9581,"Dopo aggiornamento crash frequente, è urgente. richiesta bloccante.",Tecnico,alta
137,Errore 500 in dashboard ID#2394,"Non riesco ad accedere, login non funziona con credenziali corrette..",Tecnico,alta
138,Errore 500 in dashboard ID#6909,"Dopo aggiornamento crash frequente, è urgente. per favore.",Tecnico,alta
139,API restituisce 401 ID#1831,"Servizio fermo, sistema down, priorità alta..",Tecnico,alta
140,Login non funziona ID#5321,"Servizio fermo, sistema down, priorità alta..",Tecnico,alta
141,Servizio fermo ID#9240,"L'app si chiude subito, comportamento bloccante. richiesta bloccante.",Tecnico,alta
142,App non si avvia ID#8763,"L'app si chiude subito, comportamento bloccante. entro oggi.",Tecnico,alta
143,App non si avvia ID#4846,Il sistema è lento e spesso non risponde. il prima possibile.,Tecnico,media
144,Login non funziona ID#9092,"Servizio fermo, sistema down, priorità alta. non urgente.",Tecnico,alta
